Question,Answer,Class
Whether Banks are required to capture the details of ATMs in registration certificate as a ‘place of business’,"No. Banks are not required to provide the details of ATMs while applying for registration. For the purposes of registration, ATM on its own does not constitute a place of business, as defined in the CGST Act, 2017",business
"As per RBI guidelines, Banks can use third party ATMs, Business Correspondents (BC), Customer Service Points (CSP) or third party warehouses. Are Banks required to include these third party places also in their GST registration","No. Third party places are neither places of business nor fixed establishments from where Banks ordinarily carry on their business. These are independent service providers to the Bank which are subject to GST. Thus, these places are not required to be declared as place of business by the Bank",business
"What will be the time of supply in respect of services rendered upto 30th June, 2017 where the invoices are raised or payments are received after 30th June, 2017","Where the services are rendered upto 30th June, 2017 and invoices in respect thereof are also raised on or before 30th June, 2017, the point of taxation would be as per the earlier service tax law and the services will be subject to service tax. Where the services are rendered upto 30th June, 2017 and the services are liable to be taxed under the reverse charge mechanism, the point of tax for such services as per the Point of Taxation Rules, 2011 shall be the date of payment. If the payment is made on or after 1st July, 2017, the supply of services shall be liable to GST.",services
Which tax is to be applied by the service provider on invoice issued on or after 1st July 2017 for services rendered up to 30th June 2017?,"The time of supply being issuance of invoice under the CGST Act, 2017, the supplier of services must charge GST in this case. However, where the payment for such supplies has been made (prior to issuance of invoice) as advance before the 1st of July, 2017, the tax would be payable under the law prevalent prior to 1st July, 2017, as the point of taxation had arisen before this date to the extent of advance",services
Is it necessary for Banks / insurers to report the details of exempt and non-GST supplies in Table 8 of GSTR-1?,"Yes. In the absence of any specific exemption to the Banks / insurers, the information is required to be provided in the said table.",services
Is it necessary for Banks / insurers to report the details of invoices in Table 13 of GSTR-1?,"Rule 54(2) of the CGST Rules, 2017 provides that in case of an insurer or a banking company or a financial institution, including a non-banking financial company, the tax invoice or any other document in lieu thereof, may not be serially numbered. But this does not mean that such document will not have any identification number which is required for the purpose of matching. The said entities are, therefore, required to provide the details in column 5 to 7 (but not in column 3 & 4) of the table 13 of FORM GSTR-1.",services
"It is envisaged that many customers may not provide the GSTIN to the Banks in time. In such cases the Banks / insurers would report the supply as B-to-C transactions in the returns filed by it. Later, in case the customer reverts with the GSTIN, how should this amendment be reflected?",A transaction once reported as B2C cannot be amended later to add GSTIN and convert the transaction as B2B.,transactions
How should the turnover during the period from July 2017 to March 2018 be determined for the purposes of distribution of ISD credit?,"As per the Explanation to Section 20 of the CGST Act, 2017, the relevant period on the basis of which the ratio of aggregate turnover for distribution of ISD credit will be determined has been defined to mean the last quarter, preceding the period for which credit is to be distributed, during which turnover for all recipients is available in cases where the turnover in States/Union Territories for the previous financial year is not available. Therefore, in such cases, for the quarters after July 2017 to September 2017, the State/UT-wise turnover for the purposes of ISD can be determined based on the turnovers for the quarter of July 2017 to September 2017. For the months of July, August and September, 2017, the turnover for the month of July, 2017 may be considered for the purposes of distribution of credit.",credits
Is the condition to make payment for the value of supply plus the GST thereon required to be complied with by the recipient to claim the input tax credit where supplies for services are made between distinct persons?,"No, this condition is not required to be complied with by the recipient. As per the proviso to sub rule (1) of Rule 37 of the CGST Rules, 2017 the value of supplies made without consideration as specified in paragraph 2 of Schedule I of the CGST Act, 2017 shall be deemed to have been paid for the purposes of the second proviso to sub-section (2) of Section 16 of the CGST Act, 2017.",services
A customer may avail numerous services from the Bank / insurer in a given taxable period. Is it mandatory for Banks to issue a tax invoice for each transaction or can the Bank issue a consolidated invoice for the service rendered during the tax period?,"As per the provisions contained in the first proviso to Rule 47 of the CGST Rules, 2017 an insurer, a banking company or a financial institution, including a NBFC may issue invoices within 45 days from the date of supply of service. Further, sub-rule (2) of rule 54 of CGST Rules, 2017 provides that such entities may issue any other document in lieu of the tax invoice. Accordingly, such entities may issue a consolidated statement/ invoice/ advice to the customer at the end of the month, with the details of all the charges levied during such month and GST payable thereon.",services
"When a banking company is not required to serially number its invoices / document for supply of its services, how will the service recipient get credit for GST on the services provided by the bank?","Under Rule 54(2) of the CGST Rules, 2017 a banking company or a financial institution including a NBFC or an insurer can issue an invoice or any other document in lieu thereof whether or not serially numbered and whether or not containing the address of the recipient but containing other information as mentioned under Rule 46. There is no restriction on the invoice/document being a consolidated invoice/document but it must bear an identification number, which need not necessarily be serially numbered. The recipient of service will get the credit for GST so long as the bank, etc. uploads the details of the invoice / document under that number with GSTIN of the recipient in its statement if FORM GSTR-1.",services
"Is the registered person procuring goods or services from a supplier outside India required to raise a self-invoice, debit note or credit note in respect of the price or value of services and adjustments thereto? When should the details of such transactions be reported in the GSTR returns?","As per clause (f) of sub-section (3) of Section 31 of the CGST Act, 2017 read with section 20 of the IGST Act, 2017 a registered person liable to pay tax under subsection (3) or sub-section (4) of Section 9 of the CGST Act, 2017 (or sub-section (3) or (4) of section 5 of the IGST Act, 2017) shall issue an invoice in respect of goods or services or both received by him from the supplier who is not registered on the date of receipt of goods or services or both. Therefore, in case of goods or services, the registered person procuring goods or services from an unregistered person located in India or services from a person located outside India is required to raise a self-invoice on the date of receipt of such supplies. Banks / insurers may raise a self-invoice, debit note or credit note for each such supply. This invoice, debit note or credit note for each such supply should be reported in the GST return of the month in which the supply takes place as per the provisions of section 12(3) or 13(3) of the CGST Act, 2017. As the import of goods would be under the cover of a bill of entry, there is no need to raise a self-invoice. It may, however, be noted that section 9(4) of the CGST Act, 2017 / section 5(4) of the IGST Act, 2017 has been suspended vide notification No. 38/2017-Central Tax, as amended from time to time.",transactions
"For supply of taxable services, can a digitally signed invoice be issued in duplicate, with the original being marked as “Original” and the duplicate copy being marked as “Duplicate”","In the context of digitally signed documents, the requirement of issuing original and duplicate invoices does not arise. A digitally signed invoice can be retained by the supplier and also be made available to the recipient.",services
Is there a requirement to issue a ‘payment voucher’ at the time of making payment to the foreign supplier? When should the details of such transactions be reported in the GSTR returns?,"Section 31(3)(g) of the CGST Act, 2017 mandates issuance of a payment voucher in such cases and the same is therefore required to be issued at the time of making payment to the foreign supplier of services. It would be reflected in the GSTR return of the tax period in which the supply takes place as per the provisions of section 13(3) of the CGST Act, 2017",transactions
"Banks deploy various equipment such as Point of Sale machines or ATMs at various locations. At times, the equipment is required to be moved between locations for the purpose of repairs, encryption, etc. Will such movement constitute a supply for the purpose of the GST law","Procedure prescribed under Section 143 of the CGST Act, 2017 and Rule 55 of the CGST Rules, 2017 may be followed in such cases. Movement of equipment for the purpose of repairs, etc. does not constitute a supply. The equipment may be moved by the Banks to the location of the third party service providers and after repairs, the equipment may be moved to a central / regional location for the purpose of programming, encryption, reconfiguration, etc. and thereafter to that place of business from where the equipment had been sent earlier. The equipment can be moved between such locations on the basis of a ‘delivery challan’",services
"Is a “Bill of Supply” to be issued by a bank for exempt services like interest on loans and advances, inter-se sale or purchase of foreign currency amongst banks","As per clause (c) of sub-section (3) of section 31 of the CGST Act, 2017 read with Rule 49 of the CGST Rules, 2017, there is a requirement for issuance of bill of supply for supply of exempt services by Banks. It may be noted, however, that there is no need to issue a separate bill of supply in case any invoice or document has already been issued in accordance with the provisions of any other law. Further, in view of the provisions contained in sub-rule (5) of rule 54 of the CGST Rules, 2017, banks may issue any other document in lieu of bill of supply",services
"Would Input Tax Credit (ITC) be available to a GST registrant though the services procured from third party vendor are also directly used by various ‘distinct persons’? In such cases, is distribution of ITC required to be done mandatorily through Input Service Distributor mechanism","Yes. Input Tax Credit (ITC) can be availed by a GST registrant in respect of the services procured in a consolidated manner from third party vendor which are directly used in the course or furtherance of business in more than one State, e.g. statutory audit fees, advertisement and marketing expenses, consultancy fees etc. The same needs to be appropriately invoiced or distributed through the ISD mechanism to the “distinct persons” who have actually used such services",business
